
2024/06/23 (13:55:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/24 (10:57:02) | ===> btop++ v.1.3.2
2024/06/24 (10:57:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/25 (11:41:50) | ===> btop++ v.1.3.2
2024/06/25 (11:41:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/25 (16:38:54) | ===> btop++ v.1.3.2
2024/06/25 (16:38:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/26 (13:16:07) | ===> btop++ v.1.3.2
2024/06/26 (13:16:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/26 (22:46:28) | ===> btop++ v.1.3.2
2024/06/26 (22:46:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (13:17:56) | ===> btop++ v.1.3.2
2024/06/27 (13:17:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (11:58:25) | ===> btop++ v.1.3.2
2024/06/28 (11:58:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (19:26:41) | ===> btop++ v.1.3.2
2024/06/29 (19:26:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (12:45:46) | ===> btop++ v.1.3.2
2024/06/30 (12:45:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (13:26:37) | ===> btop++ v.1.3.2
2024/07/03 (13:26:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (14:16:14) | ===> btop++ v.1.3.2
2024/07/03 (14:16:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (13:31:14) | ===> btop++ v.1.3.2
2024/07/04 (13:31:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (13:32:56) | ===> btop++ v.1.3.2
2024/07/04 (13:32:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (16:59:12) | ===> btop++ v.1.3.2
2024/07/04 (16:59:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/05 (11:57:07) | ===> btop++ v.1.3.2
2024/07/05 (11:57:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/05 (20:34:56) | ===> btop++ v.1.3.2
2024/07/05 (20:34:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (14:46:10) | ===> btop++ v.1.3.2
2024/07/06 (14:46:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (18:52:20) | ===> btop++ v.1.3.2
2024/07/06 (18:52:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (09:02:03) | ===> btop++ v.1.3.2
2024/07/07 (09:02:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (09:29:35) | ===> btop++ v.1.3.2
2024/07/08 (09:29:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (10:15:42) | ===> btop++ v.1.3.2
2024/07/08 (10:15:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (14:47:26) | ===> btop++ v.1.3.2
2024/07/08 (14:47:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (16:23:57) | ===> btop++ v.1.3.2
